exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7693,0.8359,0.8428
2,38.34,0.7715,0.8526,0.8442
3,56.01,0.7706,0.8205,0.8432
4,73.68,0.7689,0.8372,0.844
5,91.36,0.7714,0.8526,0.8447
6,109.03,0.7686,0.8372,0.8434
