exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7594,0.8372,0.8357
2,38.34,0.7629,0.8218,0.8347
3,56.01,0.7647,0.8372,0.8397
4,73.68,0.7592,0.8218,0.8375
5,91.36,0.761,0.8385,0.8403
6,109.03,0.7593,0.8218,0.8375
