name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
p32,32,16,64,4,2,128,147.8,69838,0.7875,0.0576,0.8192,0.8192,0.8694,18.2,0.6186
p50,50,25,64,4,2,128,84.34,70990,0.7475,0.0687,0.8038,0.8038,0.8572,20.8,0.6219
p100,100,50,64,4,2,128,38.34,74190,0.7559,0.0835,0.8192,0.8359,0.8459,17.2,0.6828
p200,200,100,64,4,2,128,18.97,80590,0.7548,0.0757,0.8385,0.8218,0.8544,14.2,0.8994
