name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7452,0.7859,0.7859,0.8474
thr0.525,0.525,21.33,19.56,1.037,0.7468,0.8026,0.8026,0.8473
thr0.550,0.55,22.39,20.53,1.097,0.7475,0.8026,0.8026,0.8465
thr0.575,0.575,23.62,21.67,1.167,0.7532,0.8026,0.8026,0.8468
thr0.600,0.6,25.04,22.97,1.247,0.7534,0.7872,0.8026,0.8471
thr0.625,0.625,26.75,24.54,1.344,0.7555,0.8205,0.8192,0.8475
thr0.650,0.65,28.84,26.45,1.462,0.7577,0.8205,0.8038,0.8471
thr0.675,0.675,31.09,28.52,1.59,0.76,0.8372,0.8038,0.8466
thr0.700,0.7,33.75,30.96,1.74,0.7624,0.8372,0.8205,0.8466
thr0.725,0.725,36.41,33.39,1.891,0.7631,0.8538,0.8538,0.846
thr0.750,0.75,39.24,35.99,2.051,0.7621,0.8372,0.8538,0.8456
thr0.775,0.775,42.4,38.89,2.23,0.7617,0.8538,0.8538,0.8449
thr0.800,0.8,45.78,41.99,2.421,0.7612,0.8538,0.8538,0.8451
thr0.825,0.825,49.13,45.06,2.61,0.7614,0.8372,0.8538,0.8444
thr0.850,0.85,52.87,48.49,2.822,0.7617,0.8538,0.8538,0.8429
thr0.875,0.875,57.14,52.41,3.064,0.7617,0.8538,0.8538,0.8455
thr0.900,0.9,61.75,56.64,3.325,0.7619,0.8538,0.8372,0.8446
thr0.925,0.925,66.83,61.29,3.612,0.7614,0.8538,0.8538,0.8449
thr0.950,0.95,73.3,67.23,3.978,0.7607,0.8538,0.8538,0.8462
thr0.975,0.975,81.72,74.96,4.455,0.7608,0.8538,0.8538,0.848
thr1.000,1.0,109.03,100.0,6.0,0.7606,0.8538,0.8538,0.8494
