name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,40.42,37.07,2.117,0.7653,0.8538,0.8515
pabee_p2,2,59.56,54.63,3.201,0.7626,0.8372,0.8505
pabee_p3,3,77.71,71.28,4.228,0.7611,0.8372,0.8495
pabee_p4,4,94.27,86.47,5.165,0.7603,0.8538,0.851
pabee_p5,5,109.03,100.0,6.0,0.7606,0.8538,0.8494
