name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
d64L1,100,50,64,4,1,128,20.67,40718,0.7599,0.0532,0.8359,0.8359,0.8573,15.2,1.292
d64L2,100,50,64,4,2,128,38.34,74190,0.7706,0.0702,0.8346,0.8179,0.8444,12.0,1.5526
