name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,40.31,36.97,2.112,0.7873,0.8859,0.8672
pabee_p2,2,60.09,55.12,3.231,0.7886,0.8538,0.8716
pabee_p3,3,78.36,71.87,4.265,0.788,0.8538,0.871
pabee_p4,4,94.57,86.74,5.182,0.7873,0.8692,0.8708
pabee_p5,5,109.03,100.0,6.0,0.7847,0.8526,0.8712
