name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
p32,32,16,64,4,2,128,147.8,69838,0.7786,0.0621,0.8192,0.8192,0.8662,15.8,0.2352
p50,50,25,64,4,2,128,84.34,70990,0.7953,0.0581,0.9167,0.9333,0.8732,16.8,0.1734
p100,100,50,64,4,2,128,38.34,74190,0.7412,0.0907,0.8051,0.8051,0.8337,13.4,0.2104
p200,200,100,64,4,2,128,18.97,80590,0.7775,0.0503,0.8692,0.8692,0.8664,12.4,0.3452
