exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7452,0.7859,0.8474
2,38.34,0.7647,0.8372,0.8533
3,56.01,0.7629,0.8205,0.8522
4,73.68,0.7565,0.8372,0.8513
5,91.36,0.7559,0.8538,0.8501
6,109.03,0.7606,0.8538,0.8494
