modality,n_subjects,n_windows,d_model,n_layers,patch_len,stride,n_tokens,window_acc,window_std,subject_acc,subject_acc_std,subject_acc_soft,roc_auc,mean_epochs,params_shared,params_own,shared_ratio,pair_mode,seed
hw,61,13474,64,6,100,50,39,0.7653,0.0732,0.8538,0.0564,0.8372,0.8464,7.8,200832,7246,0.9125,longest,1
voice,235,7658,64,6,24,12,15,0.6627,0.0683,0.6646,0.057,0.6896,0.745,7.8,200832,12002,0.9125,longest,1
