exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7692,0.8692,0.8546
2,38.34,0.7839,0.8859,0.8669
3,56.01,0.7869,0.8538,0.8737
4,73.68,0.7888,0.8705,0.8719
5,91.36,0.7888,0.8705,0.8704
6,109.03,0.7847,0.8526,0.8712
