name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,40.55,37.19,2.125,0.7471,0.7872,0.8406
pabee_p2,2,60.35,55.36,3.246,0.7464,0.7551,0.8427
pabee_p3,3,78.52,72.01,4.273,0.744,0.7551,0.8413
pabee_p4,4,94.57,86.74,5.182,0.7436,0.7551,0.8422
pabee_p5,5,109.03,100.0,6.0,0.7408,0.7551,0.8416
