name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
p32,32,16,64,4,2,128,147.8,69838,0.7801,0.0538,0.8526,0.8205,0.8639,11.8,0.5071
p50,50,25,64,4,2,128,84.34,70990,0.7881,0.0557,0.8679,0.8846,0.8754,13.2,0.651
p100,100,50,64,4,2,128,38.34,74190,0.7805,0.0575,0.8679,0.8526,0.8672,14.4,0.83
p200,200,100,64,4,2,128,18.97,80590,0.7803,0.0564,0.8192,0.8192,0.8712,12.6,1.0572
