modality,n_subjects,n_windows,d_model,n_layers,patch_len,stride,n_tokens,window_acc,window_std,subject_acc,subject_acc_std,subject_acc_soft,roc_auc,mean_epochs,params_shared,params_own,shared_ratio,pair_mode,seed
hw,61,13474,64,6,100,50,39,0.7861,0.0548,0.9013,0.082,0.8679,0.8632,9.8,200832,7246,0.9125,longest,42
voice,235,7658,64,6,24,12,15,0.6935,0.0458,0.7026,0.0571,0.7069,0.7619,9.8,200832,12002,0.9125,longest,42
