exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7524,0.8051,0.8461
2,38.34,0.7461,0.8051,0.8384
3,56.01,0.7412,0.7885,0.8336
4,73.68,0.7396,0.8051,0.8338
5,91.36,0.733,0.8051,0.828
6,109.03,0.7392,0.8218,0.8321
