name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7693,0.8359,0.8372,0.8428
thr0.525,0.525,21.33,19.56,1.037,0.7717,0.8359,0.8372,0.843
thr0.550,0.55,22.34,20.49,1.095,0.7716,0.8205,0.8372,0.8424
thr0.575,0.575,23.74,21.78,1.174,0.7711,0.8205,0.8372,0.8415
thr0.600,0.6,25.59,23.47,1.279,0.772,0.8359,0.8372,0.8406
thr0.625,0.625,27.39,25.12,1.38,0.7724,0.8526,0.8526,0.842
thr0.650,0.65,29.53,27.08,1.501,0.7722,0.8526,0.8526,0.8409
thr0.675,0.675,31.73,29.1,1.626,0.7725,0.8526,0.8526,0.8419
thr0.700,0.7,34.32,31.48,1.773,0.7722,0.8526,0.8526,0.8415
thr0.725,0.725,36.82,33.77,1.914,0.772,0.8526,0.8526,0.8414
thr0.750,0.75,39.72,36.43,2.078,0.7712,0.8372,0.8526,0.8414
thr0.775,0.775,42.58,39.05,2.24,0.7713,0.8372,0.8526,0.8408
thr0.800,0.8,45.52,41.75,2.406,0.7706,0.8372,0.8526,0.8409
thr0.825,0.825,49.01,44.96,2.604,0.7704,0.8372,0.8526,0.8405
thr0.850,0.85,53.04,48.65,2.832,0.7701,0.8372,0.8526,0.8401
thr0.875,0.875,57.05,52.33,3.059,0.7699,0.8372,0.8526,0.8402
thr0.900,0.9,61.69,56.58,3.321,0.7695,0.8372,0.8526,0.8398
thr0.925,0.925,67.07,61.51,3.626,0.7692,0.8372,0.8526,0.8402
thr0.950,0.95,73.6,67.51,3.995,0.7687,0.8372,0.8526,0.8408
thr0.975,0.975,82.66,75.81,4.508,0.7686,0.8372,0.8526,0.8422
thr1.000,1.0,109.03,100.0,6.0,0.7686,0.8372,0.8526,0.8434
