name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,40.07,36.75,2.098,0.7463,0.8051,0.8361
pabee_p2,2,59.58,54.65,3.202,0.7432,0.7885,0.8327
pabee_p3,3,77.56,71.14,4.22,0.7427,0.8051,0.8333
pabee_p4,4,94.14,86.35,5.158,0.7404,0.8218,0.8293
pabee_p5,5,109.03,100.0,6.0,0.7392,0.8218,0.8321
