name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
d32L2,100,50,32,4,2,64,11.5,20718,0.7819,0.0754,0.8346,0.8359,0.8457,14.0,0.7559
d64L1,100,50,64,4,1,128,20.67,40718,0.7491,0.0821,0.8359,0.8526,0.8327,13.2,0.7979
d64L2,100,50,64,4,2,128,38.34,74190,0.7968,0.062,0.8859,0.9026,0.8756,14.2,1.1146
d64L4,100,50,64,4,4,128,73.68,141134,0.7869,0.0559,0.8167,0.8667,0.8612,12.0,1.3245
d128L2,100,50,128,8,2,256,138.02,279438,0.7776,0.0707,0.8692,0.8692,0.8603,12.8,1.4051
d128L3,100,50,128,8,3,256,204.04,411918,0.781,0.0527,0.8692,0.8692,0.8681,13.4,2.2577
