name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7463,0.7551,0.7551,0.8402
thr0.525,0.525,21.27,19.51,1.034,0.745,0.7385,0.7551,0.8384
thr0.550,0.55,22.09,20.26,1.08,0.7471,0.7385,0.7551,0.8381
thr0.575,0.575,23.12,21.21,1.139,0.7486,0.7385,0.7551,0.8373
thr0.600,0.6,24.34,22.33,1.208,0.7505,0.7718,0.7551,0.8368
thr0.625,0.625,25.73,23.6,1.286,0.7511,0.7551,0.7551,0.8378
thr0.650,0.65,27.3,25.04,1.375,0.7508,0.7551,0.7385,0.8371
thr0.675,0.675,29.12,26.71,1.478,0.7505,0.7551,0.7551,0.8355
thr0.700,0.7,31.08,28.51,1.589,0.75,0.7551,0.7718,0.8353
thr0.725,0.725,33.38,30.62,1.719,0.749,0.7385,0.7718,0.8339
thr0.750,0.75,35.8,32.83,1.856,0.7489,0.7385,0.7718,0.8343
thr0.775,0.775,38.44,35.26,2.006,0.7486,0.7385,0.7718,0.8351
thr0.800,0.8,41.55,38.11,2.181,0.7456,0.7385,0.7551,0.8352
thr0.825,0.825,44.79,41.08,2.365,0.7442,0.7385,0.7385,0.8339
thr0.850,0.85,48.61,44.58,2.581,0.7441,0.7385,0.7385,0.8353
thr0.875,0.875,52.85,48.48,2.821,0.7432,0.7551,0.7385,0.8344
thr0.900,0.9,57.97,53.17,3.111,0.742,0.7551,0.7538,0.8344
thr0.925,0.925,63.73,58.45,3.437,0.7412,0.7551,0.7705,0.8349
thr0.950,0.95,70.9,65.03,3.842,0.7407,0.7551,0.7551,0.8368
thr0.975,0.975,81.07,74.36,4.418,0.7407,0.7551,0.7551,0.8375
thr1.000,1.0,109.02,99.99,5.999,0.7408,0.7551,0.7551,0.8416
