name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,39.69,36.4,2.076,0.7723,0.8526,0.8435
pabee_p2,2,58.7,53.84,3.152,0.7705,0.8372,0.8431
pabee_p3,3,76.87,70.51,4.18,0.7701,0.8372,0.8441
pabee_p4,4,93.52,85.78,5.123,0.7699,0.8372,0.8444
pabee_p5,5,109.03,100.0,6.0,0.7686,0.8372,0.8434
