exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7463,0.7551,0.8402
2,38.34,0.7496,0.8192,0.8429
3,56.01,0.7436,0.7551,0.8438
4,73.68,0.7428,0.7551,0.8425
5,91.36,0.7434,0.7718,0.8429
6,109.03,0.7408,0.7551,0.8416
