name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
d64L1,100,50,64,4,1,128,20.67,40718,0.779,0.0623,0.8192,0.8192,0.8602,28.4,0.0725
d64L2,100,50,64,4,2,128,38.34,74190,0.7608,0.0827,0.8372,0.8205,0.8551,26.4,0.1832
