exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7663,0.8026,0.8544
2,38.34,0.752,0.7885,0.8508
3,56.01,0.7531,0.7718,0.8537
4,73.68,0.754,0.7718,0.8546
5,91.36,0.7531,0.7885,0.8546
6,109.03,0.747,0.7718,0.8531
