name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,39.88,36.58,2.087,0.7511,0.7885,0.8531
pabee_p2,2,58.85,53.98,3.161,0.7475,0.7551,0.8531
pabee_p3,3,76.79,70.43,4.176,0.7457,0.7551,0.8531
pabee_p4,4,93.53,85.79,5.123,0.7438,0.7551,0.8512
pabee_p5,5,109.03,100.0,6.0,0.7417,0.7551,0.8507
