name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
d64L1,100,50,64,4,1,128,20.67,40718,0.7396,0.0751,0.7385,0.7705,0.857,25.0,0.0748
d64L2,100,50,64,4,2,128,38.34,74190,0.7593,0.0677,0.8372,0.8205,0.8707,21.4,0.1572
