modality,n_subjects,n_windows,d_model,n_layers,patch_len,stride,n_tokens,window_acc,window_std,subject_acc,subject_acc_std,subject_acc_soft,roc_auc,mean_epochs,params_shared,params_own,shared_ratio,pair_mode,seed
hw,61,13474,64,6,100,50,39,0.7325,0.0872,0.8051,0.0935,0.8218,0.847,8.4,200832,7246,0.9125,longest,7
voice,235,7658,64,6,24,12,15,0.6909,0.0133,0.7021,0.0723,0.7022,0.755,8.4,200832,12002,0.9125,longest,7
