name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,40.16,36.83,2.103,0.7561,0.7885,0.8504
pabee_p2,2,59.33,54.42,3.188,0.7539,0.7718,0.8529
pabee_p3,3,77.35,70.94,4.207,0.7518,0.7718,0.853
pabee_p4,4,93.91,86.13,5.144,0.7503,0.7718,0.8533
pabee_p5,5,109.03,100.0,6.0,0.747,0.7718,0.8531
