exit,mflops,window_acc,subject_acc,roc_auc
1,20.67,0.7518,0.8038,0.8534
2,38.34,0.7525,0.7885,0.8539
3,56.01,0.7487,0.7551,0.8542
4,73.68,0.7471,0.7551,0.8535
5,91.36,0.7448,0.7385,0.8518
6,109.03,0.7417,0.7551,0.8507
