name,patience,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
pabee_p1,1,40.43,37.08,2.118,0.7747,0.8679,0.8435
pabee_p2,2,60.07,55.1,3.23,0.7748,0.8538,0.8372
pabee_p3,3,78.17,71.69,4.254,0.7704,0.7872,0.8333
pabee_p4,4,94.46,86.64,5.176,0.7665,0.7872,0.8306
pabee_p5,5,109.03,100.0,6.0,0.7633,0.7872,0.8245
