name,patch_len,stride,d_model,n_heads,n_layers,d_ff,mflops,params,window_acc,window_std,subject_acc,subject_acc_soft,roc_auc,mean_epochs,overfit_gap
d32L2,100,50,32,4,2,64,11.5,20718,0.7476,0.0892,0.8705,0.8705,0.8495,25.4,0.2979
d64L1,100,50,64,4,1,128,20.67,40718,0.7583,0.075,0.8218,0.8538,0.8517,16.2,0.3963
d64L2,100,50,64,4,2,128,38.34,74190,0.7529,0.0872,0.8538,0.8538,0.8545,16.6,0.6079
d64L4,100,50,64,4,4,128,73.68,141134,0.757,0.0894,0.8372,0.8372,0.8617,15.6,0.8807
d128L2,100,50,128,8,2,256,138.02,279438,0.7654,0.0862,0.8038,0.8205,0.862,14.4,1.2469
d128L3,100,50,128,8,3,256,204.04,411918,0.7565,0.0762,0.7538,0.7538,0.8613,16.0,1.4864
